[2018-01-03 10:15:48.433][INF][SIG:5260:97] SIGClientStop in
[2018-01-03 10:15:48.433][INF][SIG:5260:98] MainService::Reset in
[2018-01-03 10:15:48.433][INF][SIG:5260:99] MainService::Reset out
[2018-01-03 10:15:48.433][INF][SIG:5260:100] SIGClientStop out
[2018-01-03 10:15:48.433][DBG][ICE:5260:101] shutdown communicator for MeetingCallAPI
[2018-01-03 10:15:48.433][DBG][ICE:5260:102] destroy communicator for MeetingCallAPI...
[2018-01-03 10:15:48.433][DBG][ICE:5260:103] reset communicator to null...
[2018-01-03 10:15:48.433][DBG][ICE:5260:104] uninit communicator for MeetingCallAPI...end
[2018-01-03 10:15:48.433][DBG][httpLink:5260:105] cancel all http cmd!
[2018-01-03 10:15:48.433][DBG][MeetMgr:5260:106] LoginMgr unInit...end
[2018-01-03 10:15:48.433][DBG][Main:5260:107] sdk uninit...
[2018-01-03 10:15:48.433][DBG][RateControl:5260:108] Upload stop...
[2018-01-03 10:15:48.433][DBG][RateControl:5260:109] Download stop...
[2018-01-03 10:15:48.434][DBG][Main:5260:110] UnitAllModels...
[2018-01-03 10:15:48.434][DBG][Main:5260:111] unInit  model:BROADCAST
[2018-01-03 10:15:48.434][DBG][Main:5260:112] unInit  model:RECORD
[2018-01-03 10:15:48.434][DBG][Main:5260:113] unInit  model:NRTCOMM
[2018-01-03 10:15:48.434][DBG][Main:5260:114] unInit  model:IM
[2018-01-03 10:15:48.434][DBG][Main:5260:115] unInit  model:ROLLCALL
[2018-01-03 10:15:48.434][DBG][Main:5260:116] unInit  model:NOTICE
[2018-01-03 10:15:48.434][DBG][Main:5260:117] unInit  model:SCREEN_SHARE
[2018-01-03 10:15:48.434][DBG][Main:5260:118] unInit  model:WHITE_BOARD
[2018-01-03 10:15:48.434][DBG][Main:5260:119] unInit  model:FILE_SVRCOVER
[2018-01-03 10:15:48.434][DBG][Main:5260:120] unInit  model:FILE_TRANSFER
[2018-01-03 10:15:48.434][DBG][Main:5260:121] unInit  model:FILE_TRANS_NOTIFY
[2018-01-03 10:15:48.434][DBG][Main:5260:122] unInit  model:MEDIA
[2018-01-03 10:15:48.434][DBG][Media:5260:123] MediaMgr destory...
[2018-01-03 10:15:48.434][INF][MS:5260:124] MSCSetFilmCallback in
[2018-01-03 10:15:48.434][INF][MS:5260:125] pHandler?null: no
[2018-01-03 10:15:48.434][INF][MS:5260:126] MSCSetFilmCallback out
[2018-01-03 10:15:48.435][DBG][Media:5260:127] stopMediaFileDecode...
[2018-01-03 10:15:48.435][DBG][Media:5260:128] stopMediaFileDecode finished!
[2018-01-03 10:15:48.435][DBG][Main:5260:129] unInit  model:AUDIO
[2018-01-03 10:15:48.435][DBG][Main:5260:130] unInit  model:VIDEO
[2018-01-03 10:15:48.435][INF][MS:5260:131] MSCSetVideoCallback in
[2018-01-03 10:15:48.435][INF][MS:5260:132] pHandler?null: no
[2018-01-03 10:15:48.435][INF][MS:5260:133] MSCSetVideoCallback out
[2018-01-03 10:15:48.435][DBG][Video:5260:134] DeleteAllDecoder...
[2018-01-03 10:15:48.435][DBG][Video:5260:135] DeleteAllDecoder...finished
[2018-01-03 10:15:48.435][DBG][Main:5260:136] unInit  model:BRIDGE
[2018-01-03 10:15:48.435][DBG][Main:5260:137] unInit  model:SYNC
[2018-01-03 10:15:48.435][DBG][Main:5260:138] unInit  model:MSClient
[2018-01-03 10:15:48.435][INF][MS:5260:139] MSCStop in
[2018-01-03 10:15:48.435][INF][MS:4508:140] Qos DisConnect.
[2018-01-03 10:15:48.435][INF][MS:4508:141] MainService::Reset in
[2018-01-03 10:15:48.435][INF][MS:4508:142] MainService::Reset out
[2018-01-03 10:15:48.435][INF][MS:5260:143] MSCStop out
[2018-01-03 10:15:48.435][DBG][Main:5260:144] unInit  model:INVITE
[2018-01-03 10:15:48.435][DBG][Main:5260:145] unInit  model:PSTNCTL
[2018-01-03 10:15:48.435][DBG][Main:5260:146] unInit  model:MEMBER
[2018-01-03 10:15:48.435][DBG][Main:5260:147] unInit  model:LOGIN
[2018-01-03 10:15:48.435][DBG][Main:5260:148] destory  model:BROADCAST
[2018-01-03 10:15:48.435][DBG][Main:5260:149] destory  model:RECORD
[2018-01-03 10:15:48.436][DBG][Main:5260:150] destory  model:NRTCOMM
[2018-01-03 10:15:48.436][DBG][Main:5260:151] destory  model:IM
[2018-01-03 10:15:48.436][DBG][Main:5260:152] destory  model:ROLLCALL
[2018-01-03 10:15:48.436][DBG][Main:5260:153] destory  model:NOTICE
[2018-01-03 10:15:48.436][DBG][Main:5260:154] destory  model:SCREEN_SHARE
[2018-01-03 10:15:48.436][INF][MS:5260:155] MSCSetScreenCallback in
[2018-01-03 10:15:48.436][INF][MS:5260:156] pHandler?null: no
[2018-01-03 10:15:48.436][INF][MS:5260:157] MSCSetScreenCallback out
[2018-01-03 10:15:48.436][INF][ScreenShr:5260:158] screenShare ScreenShareMsCallBack::Stop
